Index,Category_EN,SubCategory_EN,Category_VI,SubCategory_VI,Question_EN,Answers_EN,Question_VI,Answers_VI
69,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,What are two examples of civic participation in the United States?,"Vote, Run for office, Join a political party, Help with a campaign, Join a civic group, Join a community group, Give an elected official your opinion (on an issue), Contact elected officials, Support or oppose an issue or policy, Write to a newspaper",Hai ví dụ về sự tham gia của công dân ở Hoa Kỳ là gì?,"Bỏ phiếu, Tranh cử, Tham gia một đảng phái chính trị, Tham dự vào một cuộc vận động tranh cử, Tham gia vào một nhóm hoạt động dân sự, Tham gia vào một nhóm hoạt động cộng đồng, Phát biểu ý kiến (về một vấn đề) với một vị dân cử, Liên hệ với các quan chức được bầu cử, Công khai ủng hộ hoặc phản đối một vấn đề hoặc chính sách nào đó, Góp ý kiến trên một tờ báo"
70,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,What is one way Americans can serve their country?,"Vote, Pay taxes, Obey the law, Serve in the military, Run for office, Work for local, state, or federal government",Một cách mà người dân Hoa Kỳ có thể phục vụ đất nước của họ là gì?,"Bỏ phiếu, Đóng thuế, Tuân theo luật pháp, Phục vụ trong quân đội, Tranh cử, Làm việc cho chính quyền địa phương, tiểu bang hoặc liên bang"
71,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,Why is it important to pay federal taxes?,"Required by law, All people pay to fund the federal government, Required by the (U.S.) Constitution (16th Amendment), Civic duty",Tại sao việc đóng thuế liên bang lại quan trọng?,"Pháp luật bắt buộc, Tất cả mọi người đóng tiền để duy trì ngân sách cho chính phủ liên bang, Hiến pháp Hoa Kỳ (Tu chính án thứ 16) bắt buộc, Nghĩa vụ công dân"
72,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,It is important for all men age 18 through 25 to register for the Selective Service. Name one reason why.,"Required by law, Civic duty, Makes the draft fair, if needed",Mọi thanh niên tuổi từ 18 đến 25 phải đăng ký quân dịch. Bạn hãy nêu một lý do.,"Pháp luật bắt buộc, Nghĩa vụ công dân, Công bằng hóa lựa chọn cho đợt nghĩa vụ, nếu cần"
73,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,The colonists came to America for many reasons. Name one.,"Freedom, Political liberty, Religious freedom, Economic opportunity, Escape persecution",Người di dân thời thuộc địa tới Châu Mỹ vì nhiều lí do. Hãy nêu một ví dụ.,"Tự do, Tự do chính trị, Tự do tôn giáo, Cơ hội kinh tế, Tránh sự áp bức"
74,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,Who lived in America before the Europeans arrived? *,"American Indians, Native Americans",Ai sống ở Hoa Kỳ trước khi những người dân châu Âu đến? *,"Người Mỹ da đỏ, Người Mỹ bản địa"
75,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,What group of people was taken and sold as slaves?,"Africans, People from Africa",Nhóm người nào bị bắt và bán làm nô lệ?,"người châu Phi, những người từ châu Phi"
76,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,What war did the Americans fight to win independence from Britain?,"American Revolution, The (American) Revolutionary War, War for (American) Independence",Người Mỹ đã chiến đấu trong cuộc chiến nào để giành lấy sự độc lập từ nước Anh?,"Cuộc Cách mạng Mỹ, Chiến tranh Cách mạng (Mỹ), Chiến tranh vì Độc lập (Hoa Kỳ)"
77,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,Name one reason why the Americans declared independence from Britain.,"High taxes, Taxation without representation, British soldiers stayed in Americans’ houses (boarding, quartering), They did not have self-government, Boston Massacre, Boston Tea Party (Tea Act), Stamp Act, Sugar Act, Townshend Acts, Intolerable (Coercive) Acts",Hãy nêu một lý do tại sao người dân Hoa Kỳ tuyên bố độc lập khỏi Anh Quốc.,"Thuế cao, Đóng thuế mà không có đại diện, Binh lính Anh ở trong nhà của người Mỹ (nội trú, đóng quân), Họ không có chính phủ tự chủ, Thảm sát Boston, Sự kiện tiệc trà Boston (Đạo luật Trà), Đạo luật Tem, Đạo luật Đường, Đạo luật Townshend, Các đạo luật Bất khoan dung (Cưỡng chế)"
78,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,Who wrote the Declaration of Independence? *,(Thomas) Jefferson,Ai viết bản Tuyên ngôn Độc lập? *,
79,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,When was the Declaration of Independence adopted?,"July 4, 1776",Bản Tuyên ngôn Độc lập được thông qua khi nào?,"4 tháng Bảy, 1776"
80,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,The American Revolution had many important events. Name one.,"(Battle of) Bunker Hill, Declaration of Independence, Washington Crossing the Delaware (Battle of Trenton), (Battle of) Saratoga, Valley Forge (Encampment), (Battle of) Yorktown (British surrender at Yorktown)",Cuộc Cách Mạng Mỹ có rất nhiều sự kiện quan trọng Hãy nêu một ví dụ.,"(Trận chiến ở) Bunker Hill, Tuyên Ngôn Độc Lập, Washington Vượt sông Delaware (Trận chiến Trenton), (Trận chiến ở) Saratoga, Valley Forge (Doanh trại), (Trận chiến ở) Yorktown (quân Anh đầu hàng tại Yorktown)"
81,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,There were 13 original states. Name five.,"New Hampshire, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Delaware, Maryland, Virginia, North Carolina, South Carolina, Georgia",Có 13 bang đầu tiên. Kể tên số năm bang trong số đó.,
82,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,What founding document was written in 1787?,(U.S.) Constitution,Văn kiện thành lập nào được viết vào năm 1787?,(Hoa Kỳ) Hiến pháp
83,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,"(James) Madison, (Alexander) Hamilton, (John) Jay, Publius",The Federalist Papers (Tiểu luận Liên bang) ủng hộ Hiến pháp Hoa Kỳ được thông qua. Nêu tên của một trong các tác giả.,
84,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,Why were the Federalist Papers important?,"They helped people understand the (U.S.) Constitution., They supported passing the (U.S.) Constitution.",Tại sao tập Luận cương Liên bang lại quan trọng?,"Nó giúp mọi người hiểu về Hoa Kỳ Hiến pháp., Nó ủng hộ thông qua (hệ thống Liên bang Hoa Kỳ) Hiến pháp."
85,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,Benjamin Franklin is famous for many things. Name one.,"Founded the first free public libraries, First Postmaster General of the United States, Helped write the Declaration of Independence, Inventor, U.S. diplomat",Benjamin Franklin nổi tiếng vì nhiều lý do. Hãy nêu một ví dụ.,"Thành lập những thư viện miễn phí cho cộng đồng đầu tiên, Bộ trưởng Bộ Bưu điện đầu tiên ở Mỹ, Tham gia soạn thảo Tuyên Ngôn Độc Lập, Nhà Sáng Chế, Nhà Ngoại Giao Hoa Kỳ"
86,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,George Washington is famous for many things. Name one. *,"“Father of Our Country”, First president of the United States, General of the Continental Army, President of the Constitutional Convention",George Washington nổi tiếng vì nhiều lý do. Hãy nêu một ví dụ. *,"""""Người cha của Đất nước Chúng ta, Tổng Thống đầu tiên của Hợp Chủng Quốc Hoa Kỳ, Tổng Tư lệnh Lục Quân Lục Địa, Chủ Tịch Hội nghị Lập hiến"
87,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,Thomas Jefferson is famous for many things. Name one.,"Writer of the Declaration of Independence, Third president of the United States, Doubled the size of the United States (Louisiana Purchase), First Secretary of State, Founded the University of Virginia, Writer of the Virginia Statute on Religious Freedom",Thomas Jefferson nổi tiếng vì nhiều lí do. Hãy nêu một ví dụ.,"Người soạn thảo Tuyên Ngôn Độc Lập, Tổng thống thứ ba của Hợp Chủng Quốc Hoa Kỳ, Mở rộng gấp đôi lãnh thổ Hoa Kỳ (mua bang Louisiana), Ngoại trưởng đầu tiên của Hoa Kỳ, Người thành lập trường Đại Học bang Virginia, Tác giả của Quy chế Virginia về Tự Do Tôn Giáo"
88,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,James Madison is famous for many things. Name one.,"“Father of the Constitution”, Fourth president of the United States, President during the War of 1812, One of the writers of the Federalist Papers",James Madison nổi tiếng vì nhiều lý do. Hãy nêu một ví dụ.,"""""Cha đẻ của Hiến Pháp, Tổng Thống thứ tư của Hợp Chủng Quốc Hoa Kỳ, Tổng Thống trong thời kỳ Chiến Tranh 1812, Một trong những tác giả của tập Luận cương Liên Bang"
89,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,Alexander Hamilton is famous for many things. Name one.,"First Secretary of the Treasury, One of the writers of the Federalist Papers, Helped establish the First Bank of the United States, Aide to General George Washington, Member of the Continental Congress",Alexander Hamilton nổi tiếng vì nhiều lý do. Hãy nêu một ví dụ.,"Bộ Trưởng Ngân Khố Hoa Kỳ đầu tiên, Một trong những tác giả của tập Luận cương Liên Bang, Giúp đỡ thành lập Ngân Hàng đầu tiên của Hoa Kỳ, Phụ tá cho tướng George Washington, Thành viên của Quốc Hội Lục Địa"
90,American History,1800s,LỊCH SỬ HOA KỲ,Thế kỷ 19,What territory did the United States buy from France in 1803?,"Louisiana Territory, Louisiana",Hoa Kỳ mua lãnh thổ nào từ Pháp vào năm 1803?,Lãnh thổ Louisiana
91,American History,1800s,LỊCH SỬ HOA KỲ,Thế kỷ 19,Name one war fought by the United States in the 1800s.,"War of 1812, Mexican-American War, Civil War, Spanish-American War",Kể tên một cuộc chiến có Hoa Kỳ tham gia vào thế kỷ 19.,"Chiến tranh năm 1812, Chiến tranh Mexico - Hoa Kỳ, Nội chiến, Chiến tranh Tây Ban Nha - Hoa Kỳ"
92,American History,1800s,LỊCH SỬ HOA KỲ,Thế kỷ 19,Name the U.S. war between the North and the South.,The Civil War,Kể tên cuộc chiến ở Hoa Kỳ giữa miền Bắc và miền Nam.,Nội chiến
93,American History,1800s,LỊCH SỬ HOA KỲ,Thế kỷ 19,The Civil War had many important events. Name one.,"(Battle of) Fort Sumter, Emancipation Proclamation, (Battle of) Vicksburg, (Battle of) Gettysburg, Sherman’s March, (Surrender at) Appomattox, (Battle of) Antietam/Sharpsburg, Lincoln was assassinated.",Cuộc Nội chiến có rất nhiều sự kiện quan trọng. Hãy nêu một ví dụ.,"(Trận chiến ở) Fort Sumter, Tuyên Ngôn Giải Phóng Nô lệ, (Trận chiến ở) Vicksburg,, (Trận Chiến ở) Gettysburg, Cuộc tiến quân của Sherman, (Đầu hàng ở) Appomattox, (Trận chiến ở) Antietam/Sharpburg, Lincoln bị ám sát."
94,American History,1800s,LỊCH SỬ HOA KỲ,Thế kỷ 19,Abraham Lincoln is famous for many things. Name one. *,"Freed the slaves (Emancipation Proclamation), Saved (or preserved) the Union, Led the United States during the Civil War, 16th president of the United States, Delivered the Gettysburg Address",braham Lincoln nổi tiếng vì nhiều lý do. Hãy nêu một ví dụ. *,"Giải phóng nô lệ (Tuyên ngôn Giải phóng Nô lệ), Cứu (hoặc duy trì) phe Liên bang, Lãnh đạo phe Liên bang trong cuộc Nội chiến, Tổng thống thứ 16 của Hợp Chủng Quốc Hoa Kỳ, Đọc bài Diễn văn Gettysburg"
95,American History,1800s,LỊCH SỬ HOA KỲ,Thế kỷ 19,What did the Emancipation Proclamation do?,"Freed the slaves, Freed slaves in the Confederacy, Freed slaves in the Confederate states, Freed slaves in most Southern states",Tuyên ngôn Giải phóng Nô lệ có vai trò gì?,"giải phóng nô lệ, giải phóng nô lệ ở phe Liên hiệp, giải phóng nô lệ ở các bang Liên hiệp, giải phóng nô lệ ở hầu hết các bang miền Nam"
96,American History,1800s,LỊCH SỬ HOA KỲ,Thế kỷ 19,What U.S. war ended slavery?,The Civil War,Trận chiến nào đã kết thúc chế độ nô lệ ở Hoa Kỳ?,Cuộc Nội chiến
97,American History,1800s,LỊCH SỬ HOA KỲ,Thế kỷ 19,"What amendment says all persons born or naturalized in the United States, and""",,,
98,American History,1800s,LỊCH SỬ HOA KỲ,Thế kỷ 19,When did all men get the right to vote?,"After the Civil War, During Reconstruction, (With the) 15th Amendment, 1870",Tất cả nam giới được phép bầu cử khi nào?,"Sau cuộc Nội chiến, Trong Thời kỳ Tái thiết, (Cùng với) Tu chính án thứ 15"
99,American History,1800s,LỊCH SỬ HOA KỲ,Thế kỷ 19,Name one leader of the women’s rights movement in the 1800s.,"Susan B. Anthony, Elizabeth Cady Stanton, Sojourner Truth, Harriet Tubman, Lucretia Mott, Lucy Stone",Kể tên một nhà lãnh đạo của phong trào đòi quyền lợi cho phụ nữ những năm 1800,
100,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,Name one war fought by the United States in the 1900s.,"World War I, World War II, Korean War, Vietnam War, (Persian) Gulf War",Kể tên một cuộc chiến có Hoa Kỳ tham gia vào thế kỷ 20.,"Đệ nhất Thế chiến, Đệ nhị Thế chiến, Chiến tranh Triều Tiên, Chiến tranh Việt Nam, Chiến tranh vùng Vịnh (Ba Tư)"
101,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,Why did the United States enter World War I?,"Because Germany attacked U.S. (civilian) ships, To support the Allied Powers (England, France, Italy, and Russia), To oppose the Central Powers (Germany, Austria-Hungary, the Ottoman",,
102,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,When did all women get the right to vote?,"1920, After World War I, (With the) 19th Amendment",Tất cả phụ nữ được phép bầu cử khi nào?,
103,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,What was the Great Depression?,Longest economic recession in modern history,Cuộc Đại Suy Thoái là gì?,Cuộc suy thoái kinh tế dài nhất trong lịch sử hiện đại
104,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,When did the Great Depression start?,"The Great Crash (1929), Stock market crash of 1929",Cuộc Đại Suy thoái bắt đầu khi nào?,"Cuộc Đại Sụp Đổ (1929), Sụp đổ thị trường chứng khoán năm 1929"
105,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,Who was president during the Great Depression and World War II?,(Franklin) Roosevelt,i là Tổng thống Hoa Kỳ trong thời kỳ Đại suy thoái và Đệ nhị Thế chiến?,
106,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,Why did the United States enter World War II?,"(Bombing of) Pearl Harbor, Japanese attacked Pearl Harbor, To support the Allied Powers (England, France, and Russia), To oppose the Axis Powers (Germany, Italy, and Japan)",Tại sao Hoa Kỳ tham gia vào Thế chiến thứ II?,"(Vụ đánh bom) Trân Châu Cảng, Nhật tấn công Trân Châu Cảng, Để ủng hộ Khối Đồng Minh (Anh, Pháp, Nga), Để tấn công Phe Trục (Đức, Ý, và Nhật)"
107,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,Dwight Eisenhower is famous for many things. Name one.,"General during World War II, President at the end of (during) the Korean War, 34th president of the United States, Signed the Federal-Aid Highway Act of 1956 (Created the Interstate System)",Dwight Eisenhower nổi tiếng vì nhiều lý do. Hãy nêu một ví dụ.,"Tổng Tư Lệnh trong Thế Chiến Thứ II, Tổng thống (trong) thời kỳ cuối chiến tranh Triều Tiên, Tổng thống thứ 34 của Hợp Chủng Quốc Hoa Kỳ, Ký kết Đạo luật Liên Bang Tài trợ Xa lộ năm 1956 (xây dựng hệ thống xa lộ liên tiểu bang)"
108,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,Who was the United States’ main rival during the Cold War?,"Soviet Union, USSR, Russia",Ai là đối thủ chính của Hoa Kỳ trong thời kỳ Chiến tranh Lạnh?,Liên Xô
109,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,"During the Cold War, what was one main concern of the United States?""","Communism, Nuclear war","Trong thời kỳ Chiến trang Lạnh, mối quan tâm chính của Hoa Kỳ là gì?","Chủ Nghĩa Cộng Sản, Chiến tranh hạt nhân"
110,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,Why did the United States enter the Korean War?,To stop the spread of communism,Tại sao Hoa Kỳ tham gia vào Chiến tranh Triều Tiên?,Để ngăn chặn sự lây lan của Chủ Nghĩa Cộng Sản
111,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,Why did the United States enter the Vietnam War?,To stop the spread of communism,Tại sao Hoa Kỳ tham gia vào Chiến Tranh Việt Nam?,Để ngăn chặn sự lây lan của Chủ Nghĩa Cộng Sản
112,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,What did the civil rights movement do?,Fought to end racial discrimination,Phong trào dân quyền đã làm được những gì?,Đấu tranh để kết thúc phân biệt chủng tộc
113,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,"Martin Luther King, Jr. is famous for many things. Name one. *""","Fought for civil rights, Worked for equality for all Americans, Worked to ensure that people would “not be judged by the color of their skin,"" but by the content of their character”","Martin Luther King, Jr. nổi tiếng vì nhiều thứ. Hãy nêu một điều. *","Đấu tranh vì dân quyền, Nỗ lực vì sự bình đẳng cho mọi công dân Mỹ, Nỗ lực để đảm bảo mọi người """"không còn bị đánh giá qua màu da, mà bởi"
114,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,Why did the United States enter the Persian Gulf War?,To force the Iraqi military from Kuwait,Tại sao Hoa Kỳ tham gia vào Chiến tranh Vùng Vịnh?,Để buộc quân đội Iraq rút khỏi Kuwait
115,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,"What major event happened on September 11, 2001 in the United States? *""","Terrorists attacked the United States, Terrorists took over two planes and crashed them into the World Trade Center in New York City, Terrorists took over a plane and crashed into the Pentagon in Arlington,"" Virginia, Terrorists took over a plane originally aimed at Washington, D.C., and"" crashed in a field in Pennsylvania","Sự kiện lớn nào đã xảy ra vào ngày 11 tháng Chín, 2011 tại Hoa Kỳ?*","Những tên khủng bố tấn công Hoa Kỳ., Các phần tử khủng bố cướp quyền kiểm soát hai chiếc máy bay dân dụng và đâm vào Trung tâm Thương Mại Thế giới tại Thành Phố New York, Các phần tử khủng bố cướp quyền kiểm soát một máy bay dân dụng và đâm"
116,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,"Name one U.S. military conflict after the September 11, 2001 attacks.""","(Global) War on Terror, War in Afghanistan, War in Iraq",Kể tên một xung đột quân sự ở Hoa Kỳ sau vụ tấn công 11/9/2001.,"(Toàn cầu) Chiến tranh chống khủng bố, Chiến tranh ở Afghanistan, Chiến tranh ở Iraq"
117,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,Name one American Indian tribe in the United States.,"Apache, Blackfeet, Cayuga, Cherokee, Cheyenne, Chippewa, Choctaw, Creek, Crow, Hopi, Huron, Inupiat, Lakota, Mohawk, Mohegan, Navajo, Oneida, Onondaga, Pueblo, Seminole, Seneca, Shawnee, Sioux, Teton, Tuscarora",,
118,American History,Recent American History and Other Important Historical Information,LỊCH SỬ HOA KỲ,Lịch sử Hoa Kỳ Hiện đại và Các Thông tin Lịch sử Quan trọng khác,Name one example of an American innovation.,"Light bulb, Automobile (cars, combustible engine), Skyscrapers, Airplane, Assembly line, Landing on the moon, Integrated circuit (IC)",Nêu tên một ví dụ về phát minh của người Mỹ.,"Bóng đèn, Xe ô tô (xe hơi, động cơ đốt trong), Các tòa nhà cao tầng, Máy bay, Dây chuyền lắp ráp, Đặt chân lên mặt trăng, Vi mạch (IC) Symbols and holidays"
119,Symbols and Holidays,Recent American History and Other Important Historical Information,BIỂU TƯỢNG VÀ NGÀY LỄ,Biểu tượng,What is the capital of the United States?,"Washington, D.C.",Tên thủ đô Hoa Kỳ là gì?,
120,Symbols and Holidays,Recent American History and Other Important Historical Information,BIỂU TƯỢNG VÀ NGÀY LỄ,Biểu tượng,Where is the Statue of Liberty?,"New York (Harbor), Liberty Island [Also acceptable are New Jersey, near New York City, and on"" the Hudson (River).]",Tượng Nữ thần Tự do đặt ở đâu?,"(Bến cảng) New York, Đảo Tự do [Chấp nhận cả đáp án New Jersey, gần thành phố New York và"" nằm trên (sông) Hudson.]"
121,Symbols and Holidays,Recent American History and Other Important Historical Information,BIỂU TƯỢNG VÀ NGÀY LỄ,Biểu tượng,Why does the flag have 13 stripes? *,"(Because there were) 13 original colonies, (Because the stripes) represent the original colonies",Tại sao quốc kỳ có 13 sọc?*,"vì có 13 thuộc địa đầu tiên, vì số sọc biểu trưng cho những thuộc địa đầu tiên"
122,Symbols and Holidays,Recent American History and Other Important Historical Information,BIỂU TƯỢNG VÀ NGÀY LỄ,Biểu tượng,Why does the flag have 50 stars?,"(Because there is) one star for each state, (Because) each star represents a state, (Because there are) 50 states",Tại sao quốc kỳ có 50 ngôi sao?,"vì một ngôi sao biểu trưng cho một bang, vì mỗi ngôi sao biểu trưng cho một bang, vì có 50 bang"
123,Symbols and Holidays,Recent American History and Other Important Historical Information,BIỂU TƯỢNG VÀ NGÀY LỄ,Biểu tượng,What is the name of the national anthem?,The Star-Spangled Banner,Tên của quốc ca là gì?,The Star-Spangled Banner (Lá cờ lấp lánh ánh sao)
124,Symbols and Holidays,Recent American History and Other Important Historical Information,BIỂU TƯỢNG VÀ NGÀY LỄ,Biểu tượng,The Nation’s first motto was “E Pluribus Unum.” What does that mean?,"Out of many, one, We all become one",Châm ngôn đầu tiên của quốc gia là “E Pluribus Unum.” Điều đó có nghĩa là gì?,"Từ nhiều hợp thành một, Tất cả chúng ta trở thành một"
125,Symbols and Holidays,Holidays,BIỂU TƯỢNG VÀ NGÀY LỄ,Ngày lễ,What is Independence Day?,"A holiday to celebrate U.S. independence (from Britain), The country’s birthday",Ngày Độc Lập là gì?,"Là một ngày lễ để ăn mừng sự độc lập của Hoa Kỳ (khỏi Anh), Ngày quốc khánh của Hoa Kỳ"
126,Symbols and Holidays,Holidays,BIỂU TƯỢNG VÀ NGÀY LỄ,Ngày lễ,Name three national U.S. holidays. *,"New Year’s Day, Martin Luther King, Jr. Day, Presidents Day (Washington’s Birthday), Memorial Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day",Kể tên Ba ngày lễ quốc gia ở Hoa Kỳ.*,"Ngày Năm mới, Ngày tưởng niệm Martin Luther King, Jr., Ngày Tổng thống ( Ngày sinh của Washington), Ngày Tưởng niệm Chiến sĩ trận vong, Ngày Quốc khánh, Ngày Lao động, Ngày Columbus, Ngày Cựu chiến binh, Lễ Tạ ơn, Giáng sinh"
127,Symbols and Holidays,Holidays,BIỂU TƯỢNG VÀ NGÀY LỄ,Ngày lễ,What is Memorial Day?,A holiday to honor soldiers who died in military service,Lễ Chiến sĩ trận vong là gì?,Ngày lễ để tưởng niệm những quân nhân đã tử nạn trong quân ngũ
128,Symbols and Holidays,Holidays,BIỂU TƯỢNG VÀ NGÀY LỄ,Ngày lễ,What is Veterans Day?,"A holiday to honor people in the (U.S.) military, A holiday to honor people who have served (in the U.S. military)",Ngày cựu chiến binh là gì?,"Ngày lễ để tôn vinh các cựu chiến binh trong quân đội (Hoa Kỳ), Ngày lễ để tôn vinh những người đã từng phục vụ (trong quân đội Hoa Kỳ)"
