Index,Category_EN,SubCategory_EN,Category_FR,SubCategory_FR,Question_EN,Answers_EN,Question_FR,Answers_FR
1,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,What is the form of government of the United States?,"Republic, Constitution-based federal republic, Representative democracy",Quel est le régime politique des États-Unis?,"Une République, Une République fédérale constitutionnelle, Une démocratie représentative"
2,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,What is the supreme law of the land? *,(U.S.) Constitution,Quelle est la loi suprême du pays? *,
3,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,Name one thing the U.S. Constitution does.,"Forms the government, Defines powers of government, Defines the parts of government, Protects the rights of the people",Nommez l'un des rôles de la Constitution américaine.,
4,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,The U.S. Constitution starts with the words “We the People.” What does “We the People” mean? People” mean?,"Self-government, Popular sovereignty, Consent of the governed, People should govern themselves, (Example of) social contract","La Constitution américaine commence par les mots suivants: “Nous, le peuple.” Que signifie “Nous, le peuple”?",
5,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,How are changes made to the U.S. Constitution?,"Amendments, The amendment process",Comment sont effectués les changements dans la Constitution?,
6,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,What does the Bill of Rights protect?,"(The basic) rights of Americans, (The basic) rights of people living in the United States",Que protège la Déclaration des droits américaine?,"Les droits (fondamentaux) des Américains, Les droits (fondamentaux) des personnes vivant sur le sol américain"
7,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,How many amendments does the U.S. Constitution have? *,Twenty-seven (27),,
7,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,Combien d'amendements la Constitution contient-elle ? *,vingt-sept (27),,
8,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,Why is the Declaration of Independence important?,"It says America is free from British control., It says all people are created equal., It identifies inherent rights., It identifies individual freedoms.",Pourquoi la Déclaration d’Indépendance est-elle importante?,"Elle stipule que l’Amérique n’est plus sous le contrôle britannique., Elle stipule que tous les citoyens naissent égaux."
9,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,What founding document said the American colonies were free from Britain?,Declaration of Independence,Quel document fondateur stipulait que les colonies américaines n'étaient plus sous le contrôle britannique?,La Déclaration d’Indépendance
10,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,Name two important ideas from the Declaration of Independence and the U.S. Constitution.,"Equality, Liberty, Social contract, Natural rights, Limited government, Self-government",Nommez deux idées importantes de la Déclaration d’Indépendance et de la Constitution américaine.,"Egalité, Liberté"
11,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,"The words “Life, Liberty, and the pursuit of Happiness” are in what founding document?",Declaration of Independence,"Dans quel document fondateur retrouvons-nous les mots suivants: “La vie, la liberté et la recherche du bonheur”?",La Déclaration d’Indépendance
12,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,What is the economic system of the United States? *,"Capitalism, Free market economy",Quel est le système économique des États-Unis ? *,
13,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,What is the rule of law?,"Everyone must follow the law., Leaders must obey the law., Government must obey the law., No one is above the law.",Qu’est-ce que l’état de droit?,
14,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,Many documents influenced the U.S. Constitution. Name one.,"Declaration of Independence, Articles of Confederation, Federalist Papers, Anti-Federalist Papers, Virginia Declaration of Rights, Fundamental Orders of Connecticut, Mayflower Compact, Iroquois Great Law of Peace",Un certain nombre de documents ont influencé la Constitution américaine. Nommez-en une.,"La Déclaration d’Indépendance, Les articles de la Confédération, Les Papiers Fédéralistes, Les Papiers Anti-fédéralistes, La Déclaration des droits de l’Etat de Virginie"
15,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,There are three branches of government. Why?,"So one part does not become too powerful, Checks and balances, Separation of powers",,
15,American Government,Principles of American Government,Gouvernement Américain,Les principes du Gouvernement Américain,Le gouvernement a trois pouvoirs. Pourquoi?,,,"Pour qu’une partie ne puisse pas détenir trop de pouvoir, L’équilibre des pouvoirs, La séparation des pouvoirs"
16,American Government,System of Government,Gouvernement Américain,Régime politique,Name the three branches of government.,"Legislative, executive, and judicial, Congress, president, and the courts",,
16,American Government,System of Government,Gouvernement Américain,Régime politique,Nommez les trois pouvoirs du gouvernement.,,,"Le pouvoir législatif, le pouvoir exécutif et le pouvoir judiciaire, Le Congrès, le président et les tribunaux"
17,American Government,System of Government,Gouvernement Américain,Régime politique,The President of the United States is in charge of which branch of government?,Executive branch,Quel pouvoir est détenu par le président des Etats-Unis?,Le pouvoir exécutif
18,American Government,System of Government,Gouvernement Américain,Régime politique,What part of the federal government writes laws?,"(U.S.) Congress, (U.S. or national) legislature, Legislative branch",Quelle branche du gouvernement fédéral rédige les lois?,"Le Congrès, La législature (américaine ou nationale), Le pouvoir législatif"
19,American Government,System of Government,Gouvernement Américain,Régime politique,What are the two parts of the U.S. Congress?,Senate and House (of Representatives),Quelles sont les deux parties qui constituent le Congrès américain?,Le Sénat et la Chambre (des Représentants)
20,American Government,System of Government,Gouvernement Américain,Régime politique,Name one power of the U.S. Congress. *,"Writes laws, Declares war, Makes the federal budget",Nommez un pouvoir du Congrès américain. *,"Rédige les lois, Déclare la guerre, Établit le budget fédéral"
21,American Government,System of Government,Gouvernement Américain,Régime politique,How many U.S. senators are there?,One hundred (100),Combien y a-t-il de sénateurs américains?,
22,American Government,System of Government,Gouvernement Américain,Régime politique,How long is a term for a U.S. senator?,Six (6) years,Combien de temps dure le mandat d'un sénateur américain?,
23,American Government,System of Government,Gouvernement Américain,Régime politique,Who is one of your state’s U.S. senators now?,Answers will vary. [District of Columbia residents and residents of U.S. territories should answer that D.C. (or the territory where the applicant lives) has no U.S. senators.],Qui est actuellement l’un des sénateurs américains de votre État?,Les réponses varieront. [Les résidents du district fédéral de Columbia et les résidents des États-Unis doivent répondre que D.C. (ou le territoire où réside le demandeur) n’a pas de sénateur américain.]
24,American Government,System of Government,Gouvernement Américain,Régime politique,How many voting members are in the House of Representatives?,Four hundred thirty-five (435),Combien y a-t-il de membres à la Chambre des Représentants?,
25,American Government,System of Government,Gouvernement Américain,Régime politique,How long is a term for a member of the House of Representatives?,Two (2) years,Combien de temps dure le mandat d'un membre à la Chambre des Représentants?,
26,American Government,System of Government,Gouvernement Américain,Régime politique,Why do U.S. representatives serve shorter terms than U.S. senators?,To more closely follow public opinion,Pourquoi est-ce que les membres de la Chambre des Représentants ont un mandat plus court que celui des sénateurs ?,Pour pouvoir suivre l’opinion publique au plus près
27,American Government,System of Government,Gouvernement Américain,Régime politique,How many senators does each state have?,Two (2),Combien y a-t-il de sénateurs dans chaque État?,
28,American Government,System of Government,Gouvernement Américain,Régime politique,Why does each state have two senators?,"Equal representation (for small states), The Great Compromise (Connecticut Compromise)",Pourquoi chaque État peut envoyer deux sénateurs?,Représentation équitable (pour les petits États)
29,American Government,System of Government,Gouvernement Américain,Régime politique,Name your U.S. representative.,Answers will vary. [Residents of territories with nonvoting Delegates or Resident Commissioners may provide the name of that Delegate or Commissioner. Also acceptable is any statement that the territory has no (voting) representatives in Congress.],Nommez votre représentant américain.,Les réponses varieront. [Les résidents des territoires avec des délégués non votants ou des commissaires résidents peuvent indiquer le nom de ce délégué ou de ce commissaire. Toute déclaration selon laquelle le territoire a des représentants non (votants) est également acceptable.]
30,American Government,System of Government,Gouvernement Américain,Régime politique,What is the name of the Speaker of the House of Representatives now? *,Visit uscis.gov/citizenship/testupdates for the name of the Speaker of the House of Representatives.,Comment s'appelle l'actuel Président de la Chambre des Représentants? *,Visitez uscis.gov/citizenship/testupdates pour le nom du Président de la Chambre des représentants.
31,American Government,System of Government,Gouvernement Américain,Régime politique,Who does a U.S. senator represent?,"Citizens of their state, People of their state",Qui est représenté par un sénateur américain?,"Les citoyens de son État, Les habitants de son État"
32,American Government,System of Government,Gouvernement Américain,Régime politique,Who elects U.S. senators?,Citizens from their state,Qui élit les sénateurs américains?,Les citoyens de leur État
33,American Government,System of Government,Gouvernement Américain,Régime politique,Who does a member of the House of Representatives represent?,"Citizens in their (congressional) district, Citizens in their district, People from their (congressional) district, People in their district",Qui est représenté par un membre de la Chambre des Représentants?,
34,American Government,System of Government,Gouvernement Américain,Régime politique,Who elects members of the House of Representatives?,Citizens from their (congressional) district,Qui élit les membres de la Chambre des Représentants?,
35,American Government,System of Government,Gouvernement Américain,Régime politique,Some states have more representatives than other states. Why?,"(Because of) the state’s population, (Because) they have more people, (Because) some states have more people",Pourquoi certains États ont-ils plus de représentants que d'autres?,(à cause de) la population de l’État
36,American Government,System of Government,Gouvernement Américain,Régime politique,The President of the United States is elected for how many years? *,Four (4) years,Pour combien d'années élisons-nous un Président ?*,
37,American Government,System of Government,Gouvernement Américain,Régime politique,The President of the United States can serve only two terms. Why?,"(Because of) the 22nd Amendment, To keep the president from becoming too powerful",Le Président des Etats-Unis est autorisé à n'effectuer que deux mandats. Pourquoi?,"(À cause du) 22ème Amendement, Pour empêcher le président d’avoir trop de pouvoir"
38,American Government,System of Government,Gouvernement Américain,Régime politique,What is the name of the President of the United States now? *,Visit uscis.gov/citizenship/testupdates for the name of the President of the United States.,Comment s'appelle l'actuel Président des États-Unis ?*,Visitez uscis.gov/citizenship/testupdates pour le nom du président des États-Unis
39,American Government,System of Government,Gouvernement Américain,Régime politique,What is the name of the Vice President of the United States now? *,Visit uscis.gov/citizenship/testupdates for the name of the Vice President of the United States,Comment s'appelle le Vice-président des États-Unis? *,Visitez uscis.gov/citizenship/testupdates pour le nom du vice-président des États-Unis.
40,American Government,System of Government,Gouvernement Américain,Régime politique,"If the president can no longer serve, who becomes president?",The Vice President (of the United States),"Si le Président ne peut plus exercer sa fonction, qui devient Président?",le Vice-président
41,American Government,System of Government,Gouvernement Américain,Régime politique,Name one power of the president.,"Signs bills into law, Vetoes bills, Enforces laws, Commander in Chief (of the military), Chief diplomat, Appoints federal judges",Nommez un pouvoir détenu par le président.,
42,American Government,System of Government,Gouvernement Américain,Régime politique,Who is Commander in Chief of the U.S. military?,The President (of the United States),Qui est le Commandant en chef de l'armée?,Le Président
43,American Government,System of Government,Gouvernement Américain,Régime politique,Who signs bills to become laws?,The President (of the United States),,
43,American Government,System of Government,Gouvernement Américain,Régime politique,"Qui signe les projets de loi, pour qu'ils deviennent des lois?",,,Le Président
44,American Government,System of Government,Gouvernement Américain,Régime politique,Who vetoes bills? *,The President (of the United States),,
44,American Government,System of Government,Gouvernement Américain,Régime politique,Qui met son veto aux lois? *,,,Le Président
45,American Government,System of Government,Gouvernement Américain,Régime politique,Who appoints federal judges?,The President (of the United States),Qui nomme les juges fédéraux?,Le Président (des États-Unis)
46,American Government,System of Government,Gouvernement Américain,Régime politique,The executive branch has many parts. Name one.,"President (of the United States), Cabinet, Federal departments and agencies",L’exécutif a plusieurs composantes. Nommez-en une.,Le Président (des États-Unis)
47,American Government,System of Government,Gouvernement Américain,Régime politique,What does the President’s Cabinet do?,Advises the President (of the United States),Que fait le Cabinet du Président ?,Conseille le Président
48,American Government,System of Government,Gouvernement Américain,Régime politique,What are two Cabinet-level positions?,"Attorney General, Secretary of Agriculture, Secretary of Commerce, Secretary of Defense, Secretary of Education, Secretary of Energy, Secretary of Health and Human Services, Secretary of Homeland Security, Secretary of Housing and Urban Development, Secretary of the Interior, Secretary of Labor, Secretary of State, Secretary of Transportation, Secretary of the Treasury, Secretary of Veterans Affairs, Vice President (of the United States), Administrator of the Environmental Protection Agency, Administrator of the Small Business Administration, Director of the Central Intelligence Agency, Director of the Office of Management and Budget, Director of National Intelligence, United States Trade Representative",Quels sont deux postes de niveau ministériel ?,"Secrétaire à l'Agriculture, Secrétaire au Commerce, Secrétaire à la Défense, Secrétaire à l'Éducation, Secrétaire à l'Énergie, Secrétaire à la Santé et aux services sociaux, Secrétaire à la Sécurité intérieure, Secrétaire au Logement et au développement urbain, Secrétaire à l'Intérieur, Secrétaire au Travail, Secrétaire d'État, Secrétaire aux Transports, Secrétaire du Trésor, Secrétaire aux Affaires des anciens combattants, Procureur général, Vice-président"
49,American Government,System of Government,Gouvernement Américain,Régime politique,Why is the Electoral College important?,"It decides who is elected president., It provides a compromise between the popular election of the president and congressional selection.",Pourquoi le Collège électoral est-il important?,"Il décide qui est élu président., Il permet un compromis entre l’élection du président par les citoyens et les choix du Congrès."
50,American Government,System of Government,Gouvernement Américain,Régime politique,What is one part of the judicial branch?,"Supreme Court, Federal Courts",,
50,American Government,System of Government,Gouvernement Américain,Régime politique,Quelle est la composante du pouvoir judiciaire?,,,"La Cour suprême, Le tribunal fédéral"
51,American Government,System of Government,Gouvernement Américain,Régime politique,What does the judicial branch do?,"Reviews laws, Explains laws, Resolves disputes (disagreements) about the law, Decides if a law goes against the (U.S.) Constitution",Quel est le rôle du pouvoir judiciaire?,révise les lois
52,American Government,System of Government,Gouvernement Américain,Régime politique,What is the highest court in the United States? *,Supreme Court,Quelle est la plus haute instance judiciaire aux États-Unis ? *,la Cour suprême
53,American Government,System of Government,Gouvernement Américain,Régime politique,How many seats are on the Supreme Court?,Nine (9),Combien de sièges y a-t-il à la Cour suprême?,
54,American Government,System of Government,Gouvernement Américain,Régime politique,How many Supreme Court justices are usually needed to decide a case?,Five (5),"En général, combien faut-il de juges à la Cour suprême pour statuer sur une affaire?",
55,American Government,System of Government,Gouvernement Américain,Régime politique,How long do Supreme Court justices serve?,"(For) life, Lifetime appointment, (Until) retirement",Combien de temps dure le mandat des juges à la Cour suprême?,"(À) vie, Nomination à vie, (Jusqu’à) la retraite"
56,American Government,System of Government,Gouvernement Américain,Régime politique,Supreme Court justices serve for life. Why?,"To be independent (of politics), To limit outside (political) influence",Les juges à la Cour suprême siègent à vie. Pourquoi?,"Pour être indépendants (de la politique), Pour limiter l’influence (politique) extérieure"
57,American Government,System of Government,Gouvernement Américain,Régime politique,Who is the Chief Justice of the United States now?,Visit uscis.gov/citizenship/testupdates for the name of the Chief Justice of the United States.,"Qui est le juge en chef des États-Unis, à l'heure actuelle?",Visitez uscis.gov/citizenship/testupdates pour le nom du juge en chef des États-Unis.
58,American Government,System of Government,Gouvernement Américain,Régime politique,Name one power that is only for the federal government.,"Print paper money, Mint coins, Declare war, Create an army, Make treaties, Set foreign policy",Nommez un pouvoir détenu uniquement par le gouvernement fédéral.,
59,American Government,System of Government,Gouvernement Américain,Régime politique,Name one power that is only for the states.,"Provide schooling and education, Provide protection (police), Provide safety (fire departments), Give a driver’s license, Approve zoning and land use",Nommez un pouvoir détenu uniquement par les États.,assurer la scolarisation et l'éducation
60,American Government,System of Government,Gouvernement Américain,Régime politique,What is the purpose of the 10th Amendment?,(It states that the) powers not given to the federal government belong to the states or to the people.,Quel est l'objectif du 10ème amendement?,(Il précise que) les pouvoirs non octroyés au gouvernement fédéral sont réservés aux États ou au peuple.
61,American Government,System of Government,Gouvernement Américain,Régime politique,Who is the governor of your state now? *,Answers will vary. [District of Columbia residents should answer that D.C. does not have a governor.],"Qui est le gouverneur de votre État, à l'heure actuelle? *",Les réponses varieront. [Les résidents du District de Columbia devraient répondre que le District n’a pas de gouverneur.]
62,American Government,System of Government,Gouvernement Américain,Régime politique,What is the capital of your state?,Answers will vary. [District of Columbia residents should answer that D.C. is not a state and does not have a capital. Residents of U.S. territories should name the capital of the territory.],Quelle est la capitale de votre État?,"Les réponses varieront. [Les habitants du district de Columbia devraient répondre que le District de Columbia n’est pas un État, et n’a pas de capitale. Les résidents des territoires américains doivent nommer la capitale du territoire.]"
63,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,There are four amendments to the U.S. Constitution about who can vote. Describe one of them.,"Citizens eighteen (18) and older (can vote)., You don’t have to pay (a poll tax) to vote., Any citizen can vote. (Women and men can vote.), A male citizen of any race (can vote).",La Constitution contient quatre amendements concernant les personnes pouvant voter. Décrivez-en un d'entre eux.,Les citoyens âgés de dix-huit (18) ans et plus (peuvent voter).
64,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,"Who can vote in federal elections, run for federal office, and serve on a jury in the United States?","Citizens, Citizens of the United States, U.S. citizens","Qui peut voter aux élections fédérales, se présenter aux élections du Bureau fédéral et siéger en tant que juré aux États-Unis?",
65,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,What are three rights of everyone living in the United States?,"Freedom of expression, Freedom of speech, Freedom of assembly, Freedom to petition the government, Freedom of religion, The right to bear arms",Quels sont les Trois droits dont disposent toutes les personnes résidant aux États-Unis?,"Liberté d’expression, Liberté de parole, Liberté de réunion, Liberté de présenter des demandes au gouvernement, Liberté de religion"
66,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,What do we show loyalty to when we say the Pledge of Allegiance? *,"The United States, The flag",À qui promettons-nous loyauté lorsque nous faisons le Serment d’allégeance au drapeau des États-Unis? *,aux États-Unis
67,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,Name two promises that new citizens make in the Oath of Allegiance.,"Give up loyalty to other countries, Defend the (U.S.) Constitution, Obey the laws of the United States, Serve in the military (if needed), Serve (help, do important work for) the nation (if needed), Be loyal to the United States",Nommez deux promesses que font les nouveaux citoyens au Serment d’allégeance.,"Abandonner toute loyauté à l’égard d’autres pays, Défendre la (des États-Unis), Obéir aux lois des États-Unis, Servir au sein de l’armée des États-Unis (si nécessaire), Servir (effectuer d’importants travaux pour) la nation (si nécessaire), Faire preuve de loyauté à l’égard des États-Unis"
