ID,ChapterID,SectionID,Type,English_Full,Arabic_Full,Notes
26,5,2,section,"When we say the Pledge of Allegiance, to what do we pledge our loyalty? We pledge loyalty to the [ANSWER:United States] and to the [ANSWER:flag] (Q.66). In the Oath of Allegiance for new citizens, two important promises are made: to [ANSWER:give up loyalty to other countries], to [ANSWER:defend the United States], to [ANSWER:obey the Constitution], to [ANSWER:obey the laws of the United States], to [ANSWER:serve in the U.S. military] if needed, to [ANSWER:perform important work for the nation] if needed, and to [ANSWER:be loyal to the United States] (Q.67). So, how do people become U.S. citizens? People become citizens by [ANSWER:being born in the United States under the conditions specified in the 14th Amendment to the U.S. Constitution], through [ANSWER:naturalization], or by [ANSWER:obtaining citizenship] (according to conditions set by Congress) (Q.68).",عندما نقول قسم الولاء، لمن نعهد بولائنا؟ نعهد بالولاء لـ [ANSWER:الولايات المتحدة] و [ANSWER:العلم] (س.66). في قسم الولاء للمواطنين الجدد، يتم تقديم وعدين مهمين: [ANSWER:التخلي عن الولاء للبلدان الأخرى]، و [ANSWER:الدفاع عن الولايات المتحدة]، و [ANSWER:طاعة الدستور]، و [ANSWER:طاعة قوانين الولايات المتحدة]، و [ANSWER:الخدمة في الجيش الأمريكي] إذا لزم الأمر، و [ANSWER:أداء عمل مهم للأمة] إذا لزم الأمر، و [ANSWER:أن تكون مخلصًا للولايات المتحدة] (س.67). إذن، كيف يصبح الناس مواطنين أمريكيين؟ يصبح الناس مواطنين عن طريق [ANSWER:الولادة في الولايات المتحدة بموجب الشروط المحددة في التعديل الرابع عشر لدستور الولايات المتحدة]، أو من خلال [ANSWER:التجنس]، أو عن طريق [ANSWER:الحصول على الجنسية] (وفقًا للشروط التي يحددها الكونجرس) (س.68).,"Ch5 Sec2 | Questions: [66, 67, 68]"
27,5,3,section,"There are many ways for citizens to participate in America. These include [ANSWER:voting], [ANSWER:running for office], [ANSWER:joining a political party], [ANSWER:helping with a campaign], [ANSWER:joining a civic group], [ANSWER:joining a local group], [ANSWER:giving an elected official your opinion on an issue], [ANSWER:calling Senators and Representatives], [ANSWER:publicly supporting or opposing an issue or policy], and [ANSWER:writing to a newspaper] (Q.69). There are also various ways for Americans to serve their country. These include [ANSWER:voting], [ANSWER:paying taxes], [ANSWER:obeying the law], [ANSWER:serving in the military], [ANSWER:running for office], and [ANSWER:serving in local, state, or federal government] (Q.70). Why is it important to pay federal taxes? It is [ANSWER:required by law], and [ANSWER:everyone pays taxes to support the federal government]. It is [ANSWER:what America requires], and it is a [ANSWER:civic duty] specified in the [ANSWER:16th Amendment to the Constitution] (Q.71). Finally, all men aged 18 to 25 must register with Selective Service because it is [ANSWER:required by law], it is a [ANSWER:civic duty], and it is to [ANSWER:make the draft fair, if needed] (Q.72).",هناك العديد من الطرق للمواطنين للمشاركة في أمريكا. وتشمل هذه [ANSWER:التصويت]، [ANSWER:الترشح للمناصب]، [ANSWER:الانضمام إلى حزب سياسي]، [ANSWER:المساعدة في حملة انتخابية]، [ANSWER:الانضمام إلى مجموعة مدنية]، [ANSWER:الانضمام إلى مجموعة محلية]، [ANSWER:إعطاء رأيك في قضية لمسؤول منتخب]، [ANSWER:الاتصال بأعضاء مجلس الشيوخ والنواب]، [ANSWER:الدعم العلني أو معارضة قضية أو سياسة]، و [ANSWER:الكتابة إلى صحيفة] (س.69). هناك أيضًا طرق مختلفة للأمريكيين لخدمة بلدهم. وتشمل هذه [ANSWER:التصويت]، [ANSWER:دفع الضرائب]، [ANSWER:الامتثال للقانون]، [ANSWER:الخدمة في الجيش]، [ANSWER:الترشح للمناصب]، و [ANSWER:الخدمة في الحكومة المحلية أو الولائية أو الفيدرالية] (س.70). لماذا من المهم دفع الضرائب الفيدرالية؟ إنها [ANSWER:مطلوبة بموجب القانون]، و [ANSWER:يدفع الجميع الضرائب لدعم الحكومة الفيدرالية]. إنها [ANSWER:ما تتطلبه أمريكا]، وهي [ANSWER:واجب مدني] محدد في [ANSWER:التعديل السادس عشر للدستور] (س.71). أخيرًا، يجب على جميع الرجال الذين تتراوح أعمارهم بين 18 و 25 عامًا التسجيل في الخدمة الانتقائية لأنها [ANSWER:مطلوبة بموجب القانون]، وهي [ANSWER:واجب مدني]، ول [ANSWER:جعل التجنيد عادلاً، إذا لزم الأمر] (س.72).,"Ch5 Sec3 | Questions: [69, 70, 71, 72]"
28,6,0,title,Journey to Freedom: From Colonies to Independence,رحلة إلى الحرية: من المستعمرات إلى الاستقلال,Chapter 6 Title
29,6,0,introduction,"It's time to learn how America was born. Long ago, people dreaming of a new life crossed the Atlantic Ocean to this land, and their descendants fought for freedom.",حان الوقت لنتعلم كيف وُلدت أمريكا. منذ زمن بعيد، عبر أناس يحلمون بحياة جديدة المحيط الأطلسي إلى هذه الأرض، وقاتل أحفادهم من أجل الحرية.,Chapter 6 Introduction
30,6,1,section,"The colonists came to America for many reasons: [ANSWER:freedom], [ANSWER:political liberty], [ANSWER:religious freedom], [ANSWER:economic opportunity], and to [ANSWER:escape persecution] (Q.73). However, before the Europeans arrived, people already lived on this land. They were the [ANSWER:American Indians], also known as [ANSWER:Native Americans] (Q.74). There was also a sad history: [ANSWER:Africans], or [ANSWER:people from Africa], were captured and sold as slaves (Q.75). Over time, the colonists became unhappy with British rule, and eventually, Americans fought a war to gain independence from Britain. This was the [ANSWER:American Revolution], also known as [ANSWER:the American Revolutionary War], or the [ANSWER:War for American Independence] (Q.76). There were many reasons why the United States declared its independence from Great Britain, including [ANSWER:high taxes], [ANSWER:taxation without representation], [ANSWER:British soldiers stayed in colonists' houses], [ANSWER:no self-government], [ANSWER:the Boston Massacre], and [ANSWER:the Boston Tea Party] (Q.77).",جاء المستعمرون إلى أمريكا لأسباب عديدة: [الإجابة:الحرية]، [الإجابة:الحرية السياسية]، [الإجابة:الحرية الدينية]، [الإجابة:الفرصة الاقتصادية]، و [الإجابة:الهروب من الاضطهاد] (س.73). ومع ذلك، قبل وصول الأوروبيين، كان الناس يعيشون بالفعل على هذه الأرض. كانوا [الإجابة:الهنود الأمريكيون]، المعروفون أيضاً باسم [الإجابة:السكان الأصليون لأمريكا] (س.74). كان هناك أيضاً تاريخ حزين: [الإجابة:الأفارقة]، أو [الإجابة:الأشخاص من إفريقيا]، تم أسرهم وبيعهم كعبيد (س.75). مع مرور الوقت، أصبح المستعمرون غير راضين عن الحكم البريطاني، وفي النهاية، خاض الأمريكيون حرباً لكسب الاستقلال عن بريطانيا. كانت هذه [الإجابة:الثورة الأمريكية]، والمعروفة أيضاً باسم [الإجابة:الحرب الثورية الأمريكية]، أو [الإجابة:حرب الاستقلال الأمريكية] (س.76). كانت هناك أسباب عديدة لإعلان الولايات المتحدة استقلالها عن بريطانيا العظمى، بما في ذلك [الإجابة:الضرائب المرتفعة]، [الإجابة:الضرائب بدون تمثيل]، [الإجابة:بقاء الجنود البريطانيين في منازل المستعمرين]، [الإجابة:عدم وجود حكم ذاتي]، [الإجابة:مذبحة بوسطن]، و [الإجابة:حفلة شاي بوسطن] (س.77).,"Ch6 Sec1 | Questions: [73, 74, 75, 76, 77]"
31,6,2,section,"The Declaration of Independence was written by [ANSWER:Thomas Jefferson] (Q.78). And the date the Declaration of Independence was adopted is [ANSWER:July 4, 1776] (Q.79). There were many important events during the American Revolution. These included the [ANSWER:Battle of Bunker Hill], the [ANSWER:Declaration of Independence], [ANSWER:Washington's Crossing of the Delaware], the [ANSWER:Battle of Saratoga], the [ANSWER:Encampment at Valley Forge], and the [ANSWER:Battle of Yorktown] (Q.80). Initially, there were 13 states: [ANSWER:New Hampshire], [ANSWER:Massachusetts], [ANSWER:Rhode Island], [ANSWER:Connecticut], [ANSWER:New York], [ANSWER:New Jersey], [ANSWER:Pennsylvania], [ANSWER:Delaware], [ANSWER:Maryland], [ANSWER:Virginia], [ANSWER:North Carolina], [ANSWER:South Carolina], and [ANSWER:Georgia] (Q.81). And in 1787, an important founding document was drafted. That was the [ANSWER:U.S. Constitution] (Q.82).",تمت كتابة إعلان الاستقلال بواسطة [ANSWER: توماس جيفرسون] (Q.78). وتاريخ اعتماد إعلان الاستقلال هو [ANSWER: 4 يوليو 1776] (Q.79). كانت هناك العديد من الأحداث الهامة خلال الثورة الأمريكية. وشملت هذه [ANSWER: معركة بنكر هيل]، [ANSWER: إعلان الاستقلال]، [ANSWER: عبور واشنطن لنهر ديلاوير]، [ANSWER: معركة ساراتوجا]، [ANSWER: معسكر فالي فورج]، و[ANSWER: معركة يوركتاون] (Q.80). في البداية، كانت هناك 13 ولاية: [ANSWER: نيوهامبشير]، [ANSWER: ماساتشوستس]، [ANSWER: رود آيلاند]، [ANSWER: كونيتيكت]، [ANSWER: نيويورك]، [ANSWER: نيوجيرسي]، [ANSWER: بنسلفانيا]، [ANSWER: ديلاوير]، [ANSWER: ماريلاند]، [ANSWER: فيرجينيا]، [ANSWER: كارولينا الشمالية]، [ANSWER: كارولينا الجنوبية]، و[ANSWER: جورجيا] (Q.81). وفي عام 1787، تم صياغة وثيقة تأسيسية هامة. وكانت تلك هي [ANSWER: دستور الولايات المتحدة] (Q.82).,"Ch6 Sec2 | Questions: [78, 79, 80, 81, 82]"
32,6,3,section,"The Federalist Papers supported the passage of the U.S. Constitution. Its authors were known by the pseudonym [ANSWER:Publius], either [ANSWER:James Madison], [ANSWER:Alexander Hamilton], or [ANSWER:John Jay] (Q.83). The Federalist Papers are important because they [ANSWER:helped people understand the U.S. Constitution] and [ANSWER:supported the passage of the U.S. Constitution] (Q.84). Benjamin Franklin is famous for many reasons, including [ANSWER:founding the first free public libraries], [ANSWER:being the first Postmaster General of the U.S.], [ANSWER:helping to write the Declaration of Independence], [ANSWER:being an inventor], and [ANSWER:being a U.S. diplomat] (Q.85). George Washington is famous as [ANSWER:the Father of Our Country], [ANSWER:the first President of the United States], [ANSWER:the General of the Continental Army], and [ANSWER:the President of the Constitutional Convention] (Q.86).",لقد دعمت أوراق الفيدراليين إقرار دستور الولايات المتحدة. كان مؤلفوها معروفين بالاسم المستعار [ANSWER:ببليوس]، إما [ANSWER:جيمس ماديسون]، أو [ANSWER:ألكسندر هاملتون]، أو [ANSWER:جون جاي] (Q.83). تعتبر أوراق الفيدراليين مهمة لأنها [ANSWER:ساعدت الناس على فهم دستور الولايات المتحدة] و [ANSWER:دعمت إقرار دستور الولايات المتحدة] (Q.84). يشتهر بنجامين فرانكلين بالعديد من الأسباب، بما في ذلك [ANSWER:تأسيس أول مكتبات عامة مجانية]، [ANSWER:كونه أول مدير عام للبريد في الولايات المتحدة]، [ANSWER:المساعدة في كتابة إعلان الاستقلال]، [ANSWER:كونه مخترعًا]، و [ANSWER:كونه دبلوماسيًا أمريكيًا] (Q.85). يشتهر جورج واشنطن بكونه [ANSWER:أبا بلادنا]، [ANSWER:أول رئيس للولايات المتحدة]، [ANSWER:قائد الجيش القاري]، و [ANSWER:رئيس المؤتمر الدستوري] (Q.86).,"Ch6 Sec3 | Questions: [83, 84, 85, 86]"
33,6,4,section,"Thomas Jefferson is famous for various reasons. These include being the [ANSWER:Author of the Declaration of Independence], [ANSWER:Third President of the United States], [ANSWER:Doubled the size of the U.S. territory with the Louisiana Purchase], [ANSWER:First Secretary of State], and [ANSWER:Founder of the University of Virginia] (Q.87). James Madison is known as the [ANSWER:Father of the Constitution], [ANSWER:Fourth President of the United States], [ANSWER:President during the War of 1812], and [ANSWER:One of the writers of the Federalist Papers] (Q.88). Alexander Hamilton is famous as the [ANSWER:First Secretary of the Treasury], [ANSWER:One of the writers of the Federalist Papers], [ANSWER:Helped establish the first bank of the United States], and [ANSWER:Aide to General George Washington] (Q.89). Lastly, the territory the United States bought from France in 1803 was the [ANSWER:Louisiana Territory], or [ANSWER:Louisiana] (Q.90).",يشتهر توماس جيفرسون لأسباب مختلفة. وتشمل هذه كونه [ANSWER:مؤلف إعلان الاستقلال]، [ANSWER:الرئيس الثالث للولايات المتحدة]، [ANSWER:ضاعف حجم أراضي الولايات المتحدة بصفقة شراء لويزيانا]، [ANSWER:أول وزير خارجية]، و [ANSWER:مؤسس جامعة فيرجينيا] (Q.87). يُعرف جيمس ماديسون بأنه [ANSWER:أبو الدستور]، [ANSWER:الرئيس الرابع للولايات المتحدة]، [ANSWER:الرئيس خلال حرب عام 1812]، و [ANSWER:أحد كتاب الأوراق الفيدرالية] (Q.88). يشتهر ألكسندر هاميلتون بصفته [ANSWER:أول وزير للخزانة]، [ANSWER:أحد كتاب الأوراق الفيدرالية]، [ANSWER:ساعد في إنشاء أول بنك للولايات المتحدة]، و [ANSWER:مساعد الجنرال جورج واشنطن] (Q.89). أخيرًا، الإقليم الذي اشترته الولايات المتحدة من فرنسا عام 1803 كان [ANSWER:إقليم لويزيانا]، أو [ANSWER:لويزيانا] (Q.90).,"Ch6 Sec4 | Questions: [87, 88, 89, 90]"
34,7,0,title,Trials and Growth: America in the 1800s,تجارب ونمو: أمريكا في القرن التاسع عشر,Chapter 7 Title
35,7,0,introduction,"The 1800s were a time of great trials for America. There were wars and conflicts, but within them were also great steps toward freedom and equality.",كانت فترة ثمانينيات القرن التاسع عشر فترة محفوفة بالعديد من التجارب لأمريكا. لقد شهدت حروبًا وصراعات، ولكنها أيضًا شهدت خطوات عظيمة نحو الحرية والمساواة.,Chapter 7 Introduction
36,7,1,section,"In the 1800s, America fought several wars. These included the [ANSWER:War of 1812], the [ANSWER:Mexican-American War], the [ANSWER:Civil War], and the [ANSWER:Spanish-American War] (Q.91). The most tragic of these was the [ANSWER:Civil War], fought between the North and the South (Q.92). Many important events occurred during the Civil War. These included the [ANSWER:Battle of Fort Sumter], the [ANSWER:Emancipation Proclamation], the [ANSWER:Battle of Vicksburg], the [ANSWER:Battle of Gettysburg], [ANSWER:Sherman's March], [ANSWER:Appomattox Surrender], and [ANSWER:Lincoln's Assassination] (Q.93). The greatest leader of this period was Abraham Lincoln. He [ANSWER:freed the slaves], [ANSWER:preserved the Union], [ANSWER:led the United States during the Civil War], was the [ANSWER:16th President of the United States], and is famous for the [ANSWER:Gettysburg Address] (Q.94). The Emancipation Proclamation [ANSWER:freed the slaves], [ANSWER:freed slaves in the Confederacy], and [ANSWER:freed slaves in most Southern states] (Q.95).",في القرن التاسع عشر، خاضت أمريكا عدة حروب. وشملت هذه [الإجابة: حرب عام 1812]، و[الإجابة: الحرب المكسيكية الأمريكية]، و[الإجابة: الحرب الأهلية]، و[الإجابة: الحرب الإسبانية الأمريكية] (س 91). وكانت أكثرها مأساوية [الإجابة: الحرب الأهلية]، التي دارت بين الشمال والجنوب (س 92). وقعت العديد من الأحداث الهامة خلال الحرب الأهلية. وشملت هذه [الإجابة: معركة فورت سمتر]، و[الإجابة: إعلان تحرير العبيد]، و[الإجابة: معركة فيكسبيرغ]، و[الإجابة: معركة جيتيسبيرغ]، و[الإجابة: مسيرة شيرمان]، و[الإجابة: استسلام أبوماتوكس]، و[الإجابة: اغتيال لينكولن] (س 93). كان أعظم قائد في هذه الفترة هو أبراهام لينكولن. وقد [الإجابة: حرر العبيد]، و[الإجابة: حافظ على الاتحاد]، و[الإجابة: قاد الولايات المتحدة خلال الحرب الأهلية]، وكان [الإجابة: الرئيس السادس عشر للولايات المتحدة]، ويشتهر بـ [الإجابة: خطاب جيتيسبيرغ] (س 94). إعلان تحرير العبيد [الإجابة: حرر العبيد]، و[الإجابة: حرر العبيد في الكونفدرالية]، و[الإجابة: حرر العبيد في معظم الولايات الجنوبية] (س 95).,"Ch7 Sec1 | Questions: [91, 92, 93, 94, 95]"
37,7,2,section,"The [ANSWER:American Civil War] ended slavery in the United States (Q.96). After the war, important constitutional amendments were made. The [ANSWER:14th Amendment to the U.S. Constitution] defined all persons born or naturalized in the United States and subject to its jurisdiction as citizens of the United States (Q.97). And it was [ANSWER:after the Civil War], [ANSWER:during the Reconstruction Era], by the [ANSWER:15th Amendment to the U.S. Constitution], in [ANSWER:1870], that all men gained the right to vote (Q.98). Leaders of the women's rights movement in the 1800s included [ANSWER:Susan B. Anthony], [ANSWER:Elizabeth Cady Stanton], [ANSWER:Sojourner Truth], and [ANSWER:Harriet Tubman] (Q.99).",أنهت [الإجابة:الحرب الأهلية الأمريكية] العبودية في الولايات المتحدة (س 96). بعد الحرب، تم إجراء تعديلات دستورية مهمة. عرّف [الإجابة:التعديل الرابع عشر لدستور الولايات المتحدة] جميع الأشخاص المولودين أو المتجنسين في الولايات المتحدة والخاضعين لولايتها القضائية كمواطنين للولايات المتحدة (س 97). وكان [الإجابة:بعد الحرب الأهلية]، [الإجابة:خلال عصر إعادة الإعمار]، بموجب [الإجابة:التعديل الخامس عشر لدستور الولايات المتحدة]، في [الإجابة:1870]، أن جميع الرجال حصلوا على حق التصويت (س 98). شمل قادة حركة حقوق المرأة في القرن التاسع عشر [الإجابة:سوزان ب. أنتوني]، [الإجابة:إليزابيث كادي ستانتون]، [الإجابة:سوجورنر تروث]، و [الإجابة:هارييت توبمان] (س 99).,"Ch7 Sec2 | Questions: [96, 97, 98, 99]"
38,7,3,section,"In the 1900s, the United States fought other wars, including [ANSWER:World War I], [ANSWER:World War II], [ANSWER:Korean War], [ANSWER:Vietnam War], and [ANSWER:Persian Gulf War] (Q.100). The reasons the United States entered World War I were [ANSWER:Germany attacking U.S. civilian ships] and [ANSWER:to support the Allied Powers] (Q.101). All women gained the right to vote in [ANSWER:1920], [ANSWER:after World War I], through the [ANSWER:19th Amendment to the U.S. Constitution] (Q.102). The Great Depression was [ANSWER:the longest economic recession in modern history] (Q.103). The Great Depression began with [ANSWER:the Great Crash of 1929], or [ANSWER:the stock market crash of 1929] (Q.104). The president during the Great Depression and World War II was [ANSWER:Franklin Roosevelt] (Q.105). The reasons the United States entered World War II were [ANSWER:the bombing of Pearl Harbor], [ANSWER:Japan's attack on Pearl Harbor], [ANSWER:to support the Allied Powers], and [ANSWER:to oppose the Axis Powers] (Q.106). Dwight Eisenhower is famous as [ANSWER:a general during World War II], [ANSWER:president at the end of the Korean War], [ANSWER:the 34th President of the United States], and for [ANSWER:signing the Federal-Aid Highway Act of 1956] (Q.107).",في القرن العشرين، خاضت الولايات المتحدة حروبًا أخرى، بما في ذلك [ANSWER:الحرب العالمية الأولى]، [ANSWER:الحرب العالمية الثانية]، [ANSWER:الحرب الكورية]، [ANSWER:حرب فيتنام]، و [ANSWER:حرب الخليج الفارسي] (Q.100). كانت الأسباب التي دفعت الولايات المتحدة لدخول الحرب العالمية الأولى هي [ANSWER:هجوم ألمانيا على السفن المدنية الأمريكية] و [ANSWER:دعم قوات الحلفاء] (Q.101). حصلت جميع النساء على حق التصويت في [ANSWER:1920]، [ANSWER:بعد الحرب العالمية الأولى]، من خلال [ANSWER:التعديل التاسع عشر لدستور الولايات المتحدة] (Q.102). كان الكساد الكبير هو [ANSWER:أطول ركود اقتصادي في التاريخ الحديث] (Q.103). بدأ الكساد الكبير بـ [ANSWER:الانهيار العظيم عام 1929]، أو [ANSWER:انهيار سوق الأسهم عام 1929] (Q.104). كان الرئيس خلال الكساد الكبير والحرب العالمية الثانية هو [ANSWER:فرانكلين روزفلت] (Q.105). كانت الأسباب التي دفعت الولايات المتحدة لدخول الحرب العالمية الثانية هي [ANSWER:قصف بيرل هاربور]، [ANSWER:هجوم اليابان على بيرل هاربور]، [ANSWER:دعم قوات الحلفاء]، و [ANSWER:معارضة دول المحور] (Q.106). يشتهر دوايت أيزنهاور بأنه [ANSWER:جنرال خلال الحرب العالمية الثانية]، [ANSWER:رئيس في نهاية الحرب الكورية]، [ANSWER:الرئيس الرابع والثلاثون للولايات المتحدة]، و [ANSWER:لتوقيعه قانون المساعدة الفيدرالية للطرق السريعة لعام 1956] (Q.107).,"Ch7 Sec3 | Questions: [100, 101, 102, 103, 104, 105, 106, 107]"
39,8,0,title,Modern America and Proud Symbols,أمريكا الحديثة ورموز الفخر,Chapter 8 Title
40,8,0,introduction,"America's journey continues. Even in modern times, America has faced many challenges and upheld the values of freedom and equality. Now let's learn about the symbols that represent America.",تستمر رحلة أمريكا. حتى في العصر الحديث، واجهت أمريكا العديد من التحديات وحافظت على قيم الحرية والمساواة. الآن دعنا نتعرف على الرموز التي تمثل أمريكا.,Chapter 8 Introduction
41,8,1,section,"During the Cold War, America's main rivals were the Soviet Union, also known as the Soviet Union or Russia (Q.108). During the Cold War, America's biggest worries were Communism and nuclear war (Q.109). The United States participated in the Korean War to stop the spread of Communism (Q.110), and for the same reason, participated in the Vietnam War (Q.111). American civil rights movements fought to end racial discrimination (Q.112). Martin Luther King, Jr. fought for civil rights, struggled for equality in America, and worked for people to be judged by who they are, not by the color of their skin (Q.113). The United States participated in the Persian Gulf War to drive the Iraqi army out of Kuwait (Q.114).",خلال الحرب الباردة، كان المنافسون الرئيسيون لأمريكا هم الاتحاد السوفيتي، المعروف أيضًا بالاتحاد السوفيتي أو روسيا (Q.108). خلال الحرب الباردة، كانت أكبر مخاوف أمريكا هي الشيوعية والحرب النووية (Q.109). شاركت الولايات المتحدة في الحرب الكورية لوقف انتشار الشيوعية (Q.110)، وللسبب نفسه، شاركت في حرب فيتنام (Q.111). حاربت حركات الحقوق المدنية الأمريكية لإنهاء التمييز العنصري (Q.112). ناضل مارتن لوثر كينغ جونيور من أجل الحقوق المدنية، وكافح من أجل المساواة في أمريكا، وعمل لكي يُحكم على الناس بما هم عليه، وليس بلون بشرتهم (Q.113). شاركت الولايات المتحدة في حرب الخليج الفارسي لطرد الجيش العراقي من الكويت (Q.114).,"Ch8 Sec1 | Questions: [108, 109, 110, 111, 112, 113, 114]"
42,8,2,section,"In the United States, a major event occurred on September 11, 2001. [ANSWER:Terrorists attacked the United States], [ANSWER:Terrorists hijacked two planes and crashed them into the World Trade Center in New York City], and [ANSWER:Terrorists hijacked a plane and crashed it into the Pentagon in Arlington, Virginia] (Q.115). After the attacks of September 11, 2001, U.S. military conflicts included the [ANSWER:Global War on Terror], [ANSWER:War in Afghanistan], and [ANSWER:Iraq War] (Q.116). Many Native American tribes in the United States include the [ANSWER:Apache], [ANSWER:Cherokee], [ANSWER:Navajo], and [ANSWER:Sioux] (Q.117). Examples of American innovation include the [ANSWER:light bulb], [ANSWER:automobile], [ANSWER:skyscraper], [ANSWER:airplane], [ANSWER:assembly line], and [ANSWER:moon landing] (Q.118). The capital of the United States is [ANSWER:Washington D.C.] (Q.119). The Statue of Liberty is located in [ANSWER:New York Harbor], [ANSWER:Liberty Island] (Q.120).",في الولايات المتحدة، وقع حدث كبير في 11 سبتمبر 2001. [الإجابة: هاجم الإرهابيون الولايات المتحدة]، [الإجابة: اختطف الإرهابيون طائرتين واصطدموا بهما في مركز التجارة العالمي في مدينة نيويورك]، و [الإجابة: اختطف الإرهابيون طائرة واصطدموا بها في البنتاغون في أرلينغتون، فيرجينيا] (س.115). بعد هجمات 11 سبتمبر 2001، شملت الصراعات العسكرية الأمريكية [الإجابة: الحرب العالمية على الإرهاب]، [الإجابة: الحرب في أفغانستان]، و [الإجابة: حرب العراق] (س.116). تشمل العديد من القبائل الأمريكية الأصلية في الولايات المتحدة [الإجابة: الأباتشي]، [الإجابة: الشيروكي]، [الإجابة: النافاجو]، و [الإجابة: السو] (س.117). تشمل أمثلة الابتكار الأمريكي [الإجابة: المصباح الكهربائي]، [الإجابة: السيارة]، [الإجابة: ناطحة السحاب]، [الإجابة: الطائرة]، [الإجابة: خط التجميع]، و [الإجابة: الهبوط على القمر] (س.118). عاصمة الولايات المتحدة هي [الإجابة: واشنطن العاصمة] (س.119). يقع تمثال الحرية في [الإجابة: ميناء نيويورك]، [الإجابة: جزيرة ليبرتي] (س.120).,"Ch8 Sec2 | Questions: [115, 116, 117, 118, 119, 120]"
43,8,3,section,"Why does the American flag have 13 stripes? [ANSWER:Because there were 13 original colonies], and [ANSWER:the stripes represent the 13 original colonies] (Q.121). Why does the American flag have 50 stars? [ANSWER:Because there is one star for each state], and [ANSWER:each star represents a state], and [ANSWER:because there are 50 states] (Q.122). The name of the national flag is the [ANSWER:Stars and Stripes] (Q.123). The first motto of this nation is 'E Pluribus Unum', which means [ANSWER:out of many, one], [ANSWER:all become one] (Q.124). Independence Day is [ANSWER:a holiday celebrating America's independence from Britain], that is, [ANSWER:the nation's birthday] (Q.125). U.S. national holidays include [ANSWER:New Year's Day], [ANSWER:Martin Luther King, Jr. Day], [ANSWER:Presidents' Day], [ANSWER:Memorial Day], [ANSWER:Independence Day], [ANSWER:Labor Day], [ANSWER:Veterans Day], [ANSWER:Thanksgiving], and [ANSWER:Christmas] (Q.126). Memorial Day is [ANSWER:a holiday to honor soldiers who died while serving in the military] (Q.127). Veterans Day is [ANSWER:a holiday to honor those who belong to the U.S. military], [ANSWER:a holiday to honor people who served in the U.S. military] (Q.128).","لماذا يحتوي العلم الأمريكي على 13 شريطًا؟ [الإجابة: لأنه كان هناك 13 مستعمرة أصلية]، و [الإجابة: تمثل الخطوط المستعمرات الأصلية الـ 13] (س.121). لماذا يحتوي العلم الأمريكي على 50 نجمة؟ [الإجابة: لأنه توجد نجمة واحدة لكل ولاية]، و [الإجابة: تمثل كل نجمة ولاية]، و [الإجابة: لأنه توجد 50 ولاية] (س.122). اسم العلم الوطني هو [الإجابة: النجوم والخطوط] (س.123). الشعار الأول لهذه الأمة هو ""E Pluribus Unum""، والذي يعني [الإجابة: من الكثرة واحد]، [الإجابة: الجميع يصبح واحدًا] (س.124). عيد الاستقلال هو [الإجابة: عطلة تحتفل باستقلال أمريكا عن بريطانيا]، أي [الإجابة: عيد ميلاد الأمة] (س.125). تشمل العطلات الوطنية للولايات المتحدة [الإجابة: رأس السنة الجديدة]، [الإجابة: يوم مارتن لوثر كينغ جونيور]، [الإجابة: يوم الرؤساء]، [الإجابة: يوم الذكرى]، [الإجابة: عيد الاستقلال]، [الإجابة: عيد العمال]، [الإجابة: يوم المحاربين القدامى]، [الإجابة: عيد الشكر]، و [الإجابة: عيد الميلاد] (س.126). يوم الذكرى هو [الإجابة: عطلة لتكريم الجنود الذين ماتوا أثناء خدمتهم في الجيش] (س.127). يوم المحاربين القدامى هو [الإجابة: عطلة لتكريم أولئك الذين ينتمون إلى الجيش الأمريكي]، [الإجابة: عطلة لتكريم الأشخاص الذين خدموا في الجيش الأمريكي] (س.128).","Ch8 Sec3 | Questions: [121, 122, 123, 124, 125, 126, 127, 128]"
